group,run_id,status,objective,travel,tw_penalty,runtime_sec,selected_lambda,selected_tw_weight,selected_profile,selected_anchor,gap_to_dp_abs,gap_to_dp_ratio,objective_milp,subtour_cuts,solve_rounds,approximation_note,milp_pieces
QUBO_FIXED,0,ok,232168.0,48.0,232120.0,15.271887709008297,200.0,1.0,P3,,148047.0,2.7599291496772507,,,,,
QUBO_ADAPTIVE,0,ok,131287.0,37.0,131250.0,61.67842012501205,13.14,0.8,P3,,47166.0,1.5606923360397522,,,,,
QUBO_FIXED,1,ok,228346.0,46.0,228300.0,14.200204875000054,200.0,1.0,P3,,144225.0,2.7144945970685086,,,,,
QUBO_ADAPTIVE,1,ok,102096.0,36.0,102060.0,64.37568975001341,8.76,0.8,P2,,17975.0,1.2136802938624125,,,,,
QUBO_FIXED,2,ok,204499.0,49.0,204450.0,14.44100249998155,200.0,1.0,P3,,120378.0,2.4310100926047005,,,,,
QUBO_ADAPTIVE,2,ok,109262.0,32.0,109230.0,62.08168704202399,8.76,1.2,P1,,25141.0,1.2988671080942928,,,,,
BRANCH_CUT,0,ok,97920.0,30.0,97890.0,183.58182704102364,,,,,13799.0,1.1640375173856707,110490.19999999998,0,1,MILP objective uses piecewise linearized TW penalty,10
BRANCH_CUT_P8,1,ok,97671.0,31.0,97640.0,183.5946600830066,,,,,13550.0,1.1610774955124166,114426.625,0,1,MILP objective uses piecewise linearized TW penalty,8
BRANCH_CUT_P12,2,ok,98096.0,36.0,98060.0,184.40772558402386,,,,,13975.0,1.1661297416816252,105354.05555555558,0,1,MILP objective uses piecewise linearized TW penalty,12
DP_EXACT,0,ok,84121.0,31.0,84090.0,,,,,,0.0,1.0,,,,,
