assignment_strategy,route_postprocess,enable_tw_repair,vehicle_scan_mode,n_runs,feasibility_rate,cap_ok_rate,tw_violation_ratio_mean,objective_mean,objective_std,objective_min,objective_p25,objective_p75,travel_mean,tw_penalty_mean,runtime_mean,runtime_std,selected_k_mean,strategy_signature
regret,or_opt,True,feasibility_filtered,5,1.0,1.0,0.664,99954.2,2252.6235726370264,96699.0,98201.0,101713.0,130.2,98936.0,12.662397233594675,0.12180047347775669,7.4,assign=regret|route=or_opt|tw_repair=True|scan=feasibility_filtered|qubo_cap=15
ffd,or_opt,True,feasibility_filtered,5,1.0,1.0,0.644,100162.8,2039.366999831075,97735.0,98011.0,101587.0,134.8,99212.0,12.551616075204219,0.21014909889261665,6.8,assign=ffd|route=or_opt|tw_repair=True|scan=feasibility_filtered|qubo_cap=15
ffd,or_opt,True,fixed,5,1.0,1.0,0.644,100162.8,2039.366999831075,97735.0,98011.0,101587.0,134.8,99212.0,12.557526516600046,0.2235926263818329,6.8,assign=ffd|route=or_opt|tw_repair=True|scan=fixed|qubo_cap=15
ffd,two_opt,True,feasibility_filtered,5,1.0,1.0,0.676,119789.2,8153.609149327676,110435.0,113745.0,125732.0,137.2,119004.0,10.393948599800932,0.06571568744274206,5.4,assign=ffd|route=two_opt|tw_repair=True|scan=feasibility_filtered|qubo_cap=15
regret,two_opt,True,feasibility_filtered,5,1.0,1.0,0.652,121867.6,5579.446517352774,115570.0,118094.0,125781.0,137.6,121034.0,10.219308266596636,0.05202985377029751,5.8,assign=regret|route=two_opt|tw_repair=True|scan=feasibility_filtered|qubo_cap=15
tw_pressure,or_opt,True,feasibility_filtered,5,1.0,1.0,0.628,129611.8,2651.6187810467777,126065.0,127417.0,132154.0,135.8,128660.0,12.83792074159137,0.2293869806371114,6.8,assign=tw_pressure|route=or_opt|tw_repair=True|scan=feasibility_filtered|qubo_cap=15
tw_pressure,or_opt,True,fixed,5,1.0,1.0,0.628,129611.8,2651.6187810467777,126065.0,127417.0,132154.0,135.8,128660.0,12.875899825192755,0.29610956973238683,6.8,assign=tw_pressure|route=or_opt|tw_repair=True|scan=fixed|qubo_cap=15
tw_pressure,two_opt,True,feasibility_filtered,5,1.0,1.0,0.648,149955.0,6585.722587537377,141884.0,142251.0,154167.0,141.0,149022.0,10.435385641577886,0.14029593677230273,6.6,assign=tw_pressure|route=two_opt|tw_repair=True|scan=feasibility_filtered|qubo_cap=15
tw_pressure,two_opt,True,fixed,5,1.0,1.0,0.648,149955.0,6585.722587537377,141884.0,142251.0,154167.0,141.0,149022.0,10.517768158396938,0.09088207132844438,6.6,assign=tw_pressure|route=two_opt|tw_repair=True|scan=fixed|qubo_cap=15
regret,or_opt,True,fixed,5,0.8,1.0,0.676,98932.2,2378.4998969939015,96603.0,96699.0,100289.0,130.2,97986.0,12.617784633603879,0.14504557418932304,6.8,assign=regret|route=or_opt|tw_repair=True|scan=fixed|qubo_cap=15
regret,two_opt,True,fixed,5,0.8,1.0,0.668,121194.0,4579.526831453223,115570.0,118094.0,125781.0,138.0,120288.0,10.229098650201923,0.049454902968634265,6.4,assign=regret|route=two_opt|tw_repair=True|scan=fixed|qubo_cap=15
ffd,two_opt,True,fixed,5,0.6,1.0,0.7,111567.2,4636.089835195173,103137.0,110435.0,114013.0,135.2,110688.0,10.387751133402343,0.09362631688515485,6.2,assign=ffd|route=two_opt|tw_repair=True|scan=fixed|qubo_cap=15
regret,none,False,feasibility_filtered,5,0.2,1.0,0.744,381174.0,41315.224762791746,316627.0,372894.0,390349.0,186.0,380124.0,9.412077074800617,0.03542043358185581,7.2,assign=regret|route=none|tw_repair=False|scan=feasibility_filtered|qubo_cap=15
regret,none,False,fixed,5,0.2,1.0,0.744,381174.0,41315.224762791746,316627.0,372894.0,390349.0,186.0,380124.0,9.45245267500286,0.08214233754201866,7.2,assign=regret|route=none|tw_repair=False|scan=fixed|qubo_cap=15
tw_pressure,none,False,fixed,5,0.0,1.0,0.76,415325.8,38014.11452289794,347673.0,413496.0,436437.0,191.8,414366.0,9.599146608397131,0.16448783580555723,6.4,assign=tw_pressure|route=none|tw_repair=False|scan=fixed|qubo_cap=15
tw_pressure,none,False,feasibility_filtered,5,0.0,1.0,0.76,415325.8,38014.11452289794,347673.0,413496.0,436437.0,191.8,414366.0,9.719179958192399,0.152025951390859,6.4,assign=tw_pressure|route=none|tw_repair=False|scan=feasibility_filtered|qubo_cap=15
ffd,none,False,feasibility_filtered,5,0.0,1.0,0.784,429239.4,80819.37008069291,357833.0,375030.0,447789.0,199.4,428416.0,9.391177075193264,0.04363337809373043,5.2,assign=ffd|route=none|tw_repair=False|scan=feasibility_filtered|qubo_cap=15
ffd,none,False,fixed,5,0.0,1.0,0.784,429239.4,80819.37008069291,357833.0,375030.0,447789.0,199.4,428416.0,9.420724500407232,0.049704815630998614,5.2,assign=ffd|route=none|tw_repair=False|scan=fixed|qubo_cap=15
